,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,In zone Edge / Center-point Cumulative Duration s,In zone Peripheral / Center-point Cumulative Duration s,In zone Center / Center-point Cumulative Duration s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZ,In zone 2 1 / Center-point Frequency,In zone 2 2 / Center-point Frequency,In zone 2 3 / Center-point Frequency,In zone 2 4 / Center-point Frequency,In zone 2 5 / Center-point Frequency,In zone 2 6 / Center-point Frequency,In zone 2 7 / Center-point Frequency,In zone 2 8 / Center-point Frequency,In zone 2 9 / Center-point Frequency,In zone 2 10 / Center-point Frequency,In zone 2 11 / Center-point Frequency,In zone 2 12 / Center-point Frequency,In zone 2 13 / Center-point Frequency,In zone 2 14 / Center-point Frequency,In zone 2 15 / Center-point Frequency,In zone 2 16 / Center-point Frequency,In zone 2 17 / Center-point Frequency,In zone 2 18 / Center-point Frequency,In zone 2 19 / Center-point Frequency,In zone 2 20 / Center-point Frequency,In zone 2 21 / Center-point Frequency,In zone 2 22 / Center-point Frequency,In zone 2 23 / Center-point Frequency,In zone 2 24 / Center-point Frequency,In zone 2 25 / Center-point Frequency,In zone 2 26 / Center-point Frequency,In zone 2 27 / Center-point Frequency,In zone 2 28 / Center-point Frequency,In zone 2 29 / Center-point Frequency,In zone 2 30 / Center-point Frequency,In zone 2 31 / Center-point Frequency,In zone 2 32 / Center-point Frequency,In zone 2 33 / Center-point Frequency,In zone 2 34 / Center-point Frequency,In zone 2 35 / Center-point Frequency,In zone 2 36 / Center-point Frequency,Velocity Center-point Mean cm/s
Trial     8,Arena 4,AD_CS2_147_143_113,10:15,,1,4,26,7/28/2016,AW,,325.256,168.08,22.56,13.08,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,3,2,3,2,2,2,2,0,2,0,0,2,2,2,3,1,2,3,1,2,2,0,2,4,1,1,2,1,2,4,1,1,2,3,5,4,1.57311
Trial     9,Arena 1,AD_CS2_147_143_115,10:38,,1,1,26,7/28/2016,AW,,373.289,186.72,13.48,8.68,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,30,2,2,2,1,3,3,2,0,1,0,2,4,2,0,1,1,1,4,2,0,2,2,2,4,2,0,1,0,1,2,3,4,4,4,4,3,1.75451
Trial     9,Arena 2,AD_CS2_151_143_34,10:38,,1,2,26,7/28/2016,AW,,320.364,203.36,6,-,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,25,2,3,4,4,4,5,1,1,1,1,0,5,2,1,0,0,1,4,2,0,0,0,0,2,2,0,0,0,0,2,3,3,2,2,2,2,1.50491
Trial     9,Arena 3,AD_CS2_151_143_33,10:38,,1,3,26,7/28/2016,AW,,251.641,191.2,16.44,3.6,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,2,2,2,2,2,2,2,0,1,1,1,2,2,0,1,0,0,2,3,0,1,0,1,2,3,2,1,2,2,1,2,1,2,2,1,1,1.18208
Trial     9,Arena 4,AD_CS2_102_114_96,10:38,,1,4,26,7/28/2016,AW,,500.751,161.96,30.44,13.84,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,3,4,3,2,0,0,4,4,3,3,1,1,4,3,4,1,0,2,6,2,3,1,1,2,6,2,3,2,1,2,5,6,6,6,5,4,2.32734
Trial    10,Arena 1,AD_CS2_134_132_156,11:03,,1,1,26,7/28/2016,AW,,374.697,194.72,6.36,-,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,22,6,5,4,4,4,2,7,0,0,1,0,1,7,0,0,0,0,1,7,0,0,0,0,1,7,1,0,0,0,1,4,2,1,1,1,1,1.80421
Trial    10,Arena 2,AD_CS2_151_143_14,11:03,,1,2,26,7/28/2016,AW,D,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trial    10,Arena 3,AD_CS2_134_132_23,11:03,,1,3,26,7/28/2016,AW,,482.676,186.16,3.64,1.16,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,26,4,3,3,3,3,3,5,0,0,0,0,2,6,0,0,0,1,3,6,0,1,1,1,5,7,1,1,0,0,5,7,6,5,5,5,5,2.4299
Trial    10,Arena 4,AD_CS2_134_132_146,11:03,,1,4,26,7/28/2016,AW,,474.138,170.12,1.96,-,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,22,4,3,2,3,3,3,4,0,0,1,0,3,4,0,0,0,1,3,5,0,0,0,0,4,6,0,0,0,0,5,6,5,5,6,7,7,2.65475
Trial    11,Arena 1,AD_CS2_151_143_4,11:22,,1,1,27,7/28/2016,AW,,206.271,193.76,6.44,-,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,25,2,2,2,2,2,1,2,0,0,0,1,2,2,0,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,2,2,2,2,2,2,2,1.00307
Trial    11,Arena 2,AD_CS2_147_143_142,11:22,,1,2,27,7/28/2016,AW,,101.622,205.68,-,-,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,15,0,1,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0.494176
Trial    11,Arena 3,AD_CS2_134_132_31,11:22,,1,3,27,7/28/2016,AW,,328.759,167.56,6.56,1.76,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,25,2,1,1,1,1,0,5,1,1,0,1,2,5,0,1,1,1,4,4,0,0,0,0,4,4,0,0,0,0,4,4,4,4,4,4,4,1.71981
Trial    11,Arena 4,AD_CS2_134_132_154,11:22,,1,4,27,7/28/2016,AW,,325.627,143.6,25.64,32.6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,32,3,3,2,2,4,4,3,1,0,1,2,3,3,1,1,1,1,3,3,0,1,1,1,3,3,0,0,1,2,2,2,1,1,1,2,3,1.58348
Trial    12,Arena 1,AD_CS2_102_114_52,11:35,,1,1,27,7/28/2016,AW,,586.482,183.2,9.32,2.48,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,4,2,3,3,3,3,6,0,1,0,0,3,8,2,1,0,0,3,12,3,2,0,1,3,10,2,1,1,3,2,4,4,3,3,6,4,2.84258
Trial    12,Arena 2,AD_CS2_147_143_136,11:35,,1,2,27,7/28/2016,AW,,548.913,182.24,6.32,4.76,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,28,3,4,5,4,4,5,4,0,1,0,0,7,7,2,1,0,1,8,6,1,1,1,1,6,4,0,0,0,0,5,4,4,4,4,4,4,2.73964
Trial    12,Arena 3,AD_CS2_102_114_67,11:35,,1,3,27,7/28/2016,AW,I,402.438,187.04,2.44,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,24,5,4,4,3,6,12,6,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,1,4,4,0,1,1,1,3,4,4,4,3,3,3,2.09254
Trial    12,Arena 4,AD_CS2_102_114_76,11:35,,1,4,27,7/28/2016,AW,,372.499,190.44,3.04,1.12,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,24,2,1,1,1,1,2,3,0,0,1,0,3,7,4,3,0,0,3,6,0,0,0,0,3,4,0,0,0,1,3,4,3,3,3,3,2,1.80544
Trial    33,Arena 1,AD_CS2_134_132_143,10:46,,1,1,26,7/29/2016,JD,,377.49,178.88,20.4,3.48,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,30,3,3,3,3,3,2,3,1,0,0,1,3,2,1,1,0,0,3,2,1,2,0,0,3,4,1,3,3,1,3,4,3,2,4,5,4,1.84573
Trial    33,Arena 2,AD_CS2_134_132_105,10:46,,1,2,26,7/29/2016,JD,,422.591,191.08,5.64,2.64,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,28,4,5,5,5,4,4,5,1,0,0,0,4,5,0,0,0,1,4,6,2,1,1,1,3,4,1,0,0,1,3,2,2,2,2,3,3,2.08296
