,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,Velocity Center-point Mean cm/s
Trial    85,Arena 3,AD_CS2_134_132_147,10:25,263,2,3,26,9/9/2016,JD,,402.228,1.91537
Trial    85,Arena 4,AD_CS2_102_114_67,10:25,521,2,4,26,9/9/2016,JD,,304.502,1.44753
Trial    86,Arena 1,AD_CS2_151_143_13,10:42,389,2,1,26,9/9/2016,JD,,598.199,2.84748
Trial    86,Arena 2,AD_CS2_102_114_91,10:42,349,2,2,26,9/9/2016,JD,,380.166,1.80962
Trial    86,Arena 3,AD_CS2_147_143_141,10:42,337,2,3,26,9/9/2016,JD,,717.951,3.41751
Trial    86,Arena 4,AD_CS2_102_114_88,10:42,489,2,4,26,9/9/2016,JD,,485.249,2.30983
Trial    87,Arena 1,AD_CS2_134_132_37,9:10,554,2,1,25,9/13/2016,JD,,195.195,0.96269
Trial    87,Arena 2,AD_CS2_134_132_29,9:10,332,2,2,25,9/13/2016,JD,,195.474,0.964066
Trial    87,Arena 3,AD_CS2_147_143_131,9:10,721,2,3,25,9/13/2016,JD,,431.964,2.13126
Trial    87,Arena 4,AD_CS2_147_143_108,9:10,565,2,4,25,9/13/2016,JD,,374.874,1.84886
Trial    88,Arena 1,AD_CS2_147_143_142,9:34,365,2,1,25,9/13/2016,JD,,692.431,3.46979
Trial    88,Arena 2,AD_CS2_134_132_154,9:34,402,2,2,25,9/13/2016,JD,,249.426,1.24988
Trial    88,Arena 3,AD_CS2_134_132_105,9:34,271,2,3,25,9/13/2016,JD,,354.198,1.77774
Trial    88,Arena 4,AD_CS2_151_143_34,9:34,511,2,4,25,9/13/2016,JD,,306.491,1.53583
Trial    89,Arena 1,AD_CS2_147_143_140,10:37,637,2,1,25,9/13/2016,JD,,628.04,2.18707
Trial    89,Arena 2,AD_CS2_102_114_96,10:37,415,2,2,25,9/13/2016,JD,,378.051,1.31652
Trial    89,Arena 3,AD_CS2_147_143_106,10:37,548,2,3,25,9/13/2016,JD,,206.851,0.720635
Trial    89,Arena 4,AD_CS2_134_132_153,10:37,520,2,4,25,9/13/2016,JD,,253.139,0.881894
Trial    90,Arena 1,AD_CS2_102_114_73,9:34,396,2,1,25,9/14/2016,JD,,267.401,1.34319
Trial    90,Arena 2,AD_CS2_102_114_69,9:34,415,2,2,25,9/14/2016,JD,,563.229,2.81953
Trial    90,Arena 3,AD_CS2_151_143_5,9:34,409,2,3,25,9/14/2016,JD,,102.152,0.51158
Trial    90,Arena 4,AD_CS2_147_143_129,9:34,793,2,4,25,9/14/2016,JD,,354.036,1.77231
Trial    91,Arena 1,AD_CS2_151_143_15,9:55,925,2,1,25,9/14/2016,JD,,607.229,3.01324
Trial    91,Arena 2,AD_CS2_102_114_44,9:55,750,2,2,25,9/14/2016,JD,,343.222,1.70316
Trial    91,Arena 3,AD_CS2_134_132_146,9:55,267,2,3,25,9/14/2016,JD,,451.126,2.23773
Trial    91,Arena 4,AD_CS2_134_132_151,9:55,570,2,4,25,9/14/2016,JD,,163.544,0.811233
Trial    92,Arena 1,AD_CS2_134_132_35,10:14,523,2,1,26,9/14/2016,JD,,125.386,0.627557
Trial    92,Arena 2,AD_CS2_134_132_156,10:14,406,2,2,26,9/14/2016,JD,,308.298,1.54303
Trial    92,Arena 3,AD_CS2_134_132_143,10:14,388,2,3,26,9/14/2016,JD,,418.356,2.09471
Trial    92,Arena 4,AD_CS2_102_114_51,10:14,618,2,4,26,9/14/2016,JD,,436.998,2.23186
Trial    93,Arena 1,AD_CS2_151_143_18,10:24,688,2,1,26,9/14/2016,JD,,209.43,1.0436
Trial    93,Arena 2,AD_CS2_151_143_9,10:24,659,2,2,26,9/14/2016,JD,,425.534,2.12046
Trial    93,Arena 3,AD_CS2_151_143_6,10:24,622,2,3,26,9/14/2016,JD,,547.796,2.7297
Trial    93,Arena 4,AD_CS2_147_143_136,10:24,649,2,4,26,9/14/2016,JD,,247.08,1.23121
Trial    94,Arena 1,AD_CS2_102_114_95,10:46,355,2,1,26,9/14/2016,JD,,353.74,1.80369
Trial    94,Arena 2,AD_CS2_151_143_21,10:46,736,2,2,26,9/14/2016,JD,,254.202,1.29615
Trial    94,Arena 3,AD_CS2_102_114_83,10:46,713,2,3,26,9/14/2016,JD,,1.0007,0.00626533
Trial    94,Arena 4,AD_CS2_147_143_38,10:46,792,2,4,26,9/14/2016,JD,,384.098,1.95849
Trial    95,Arena 1,AD_CS2_102_114_52,9:53,767,2,1,25,9/15/2016,JD,,569.013,2.74408
Trial    95,Arena 2,AD_CS2_147_143_132,9:53,392,2,2,25,9/15/2016,JD,,292.44,1.40894
Trial    95,Arena 3,AD_CS2_151_143_17,9:53,808,2,3,25,9/15/2016,JD,,584.817,2.81758
Trial    95,Arena 4,AD_CS2_134_132_27,9:53,596,2,4,25,9/15/2016,JD,,407.996,1.96568
Trial    96,Arena 1,AD_CS2_113_99_218,10:09,643,2,1,25,9/15/2016,JD,,346.169,1.71371
Trial    96,Arena 2,AD_CS2_113_99_220,10:09,361,2,2,25,9/15/2016,JD,,471.042,2.23328
Trial    96,Arena 3,AD_CS2_113_99_170,10:09,NA,2,3,25,9/15/2016,JD,D,NA,NA
Trial    96,Arena 4,AD_CS2_113_99_226,10:09,NA,2,4,25,9/15/2016,JD,D,NA,NA
Trial    97,Arena 1,AD_CS2_113_99_216,10:26,820,2,1,25,9/15/2016,JD,,264.281,1.27034
Trial    97,Arena 2,AD_CS2_113_99_221,10:26,374,2,2,25,9/15/2016,JD,,258.462,1.24237
Trial    97,Arena 3,AD_CS2_113_99_213,10:26,734,2,3,25,9/15/2016,JD,,435.095,2.0914
Trial    97,Arena 4,AD_CS2_113_99_163,10:26,466,2,4,25,9/15/2016,JD,,182.951,0.879403
Trial    98,Arena 1,AD_CS2_113_99_212,10:40,691,2,1,25,9/15/2016,JD,,156.395,0.750599
Trial    98,Arena 2,AD_CS2_113_99_175,10:40,361,2,2,25,9/15/2016,JD,,161.539,1.12055
Trial    98,Arena 3,AD_CS2_113_99_183,10:40,893,2,3,25,9/15/2016,JD,,202.505,0.9719
Trial    98,Arena 4,AD_CS2_113_99_186,10:40,416,2,4,25,9/15/2016,JD,,621.851,2.9845
Trial    99,Arena 1,AD_CS2_113_99_169,10:55,661,2,1,25,9/15/2016,JD,,516.947,2.47865
Trial    99,Arena 2,AD_CS2_113_99_182,10:55,794,2,2,25,9/15/2016,JD,,578.547,2.77401
Trial    99,Arena 3,AD_CS2_113_99_166,10:55,734,2,3,25,9/15/2016,JD,,308.528,1.47932
Trial    99,Arena 4,AD_CS2_113_99_215,10:55,381,2,4,25,9/15/2016,JD,,429.319,2.05849
Trial   100,Arena 1,AD_CS2_113_99_195,9:38,655,2,1,25,9/16/2016,JD,,312.347,1.4868
Trial   100,Arena 2,AD_CS2_113_99_162,9:38,708,2,2,25,9/16/2016,JD,,473.039,2.253
Trial   100,Arena 3,AD_CS2_113_99_219,9:38,381,2,3,25,9/16/2016,JD,,666.276,3.17154
Trial   100,Arena 4,AD_CS2_113_99_160,9:38,707,2,4,25,9/16/2016,JD,,553.016,2.63241
